count,mean,std,min,25%,50%,75%,max,delta,itemId,ndc,price,description,manufacturer,strength
7.0,1123.8842857142859,115.65712874082352,1080.17,1080.17,1080.17,1080.17,1386.17,306.0,5595152,49884014601.0,1386.17,PENICILLAMINE CP 250MG 100,ENDO USA INC CS,250MG
7.0,504.25571428571436,104.38075219393387,419.07,419.07,520.47,520.47,711.17,292.09999999999997,5806229,67877063533.0,711.17,TOLVAPTAN TB 15MG 10UD,ASCEND LABORATORIES CS,15MG
7.0,54.2,47.09778444895258,13.17,13.17,65.67,65.67,142.88,129.71,1453307,781149001.0,65.67,AMITRIPTYLINE HCL TB 100MG 100,SANDOZ CS,100MG
7.0,333.17,47.62352359916263,315.17,315.17,315.17,315.17,441.17,126.0,5698972,47335017149.0,441.17,TOBRAMYCIN AH 300MG/5ML 56X5ML PF,SUN PHARMACEUTICAL CS,300MG/5ML
4.0,50.8,49.10941389726957,8.27,8.27,50.8,93.33,93.33,85.06,5924600,75907007532.0,8.27,ERRIN TB 0.35MG 3X28 BPK,DR REDDYS LABS INC CS,0.35MG
7.0,27.36571428571429,23.52188616100819,6.77,6.77,33.27,33.27,71.44,64.67,1276179,781148801.0,33.27,AMITRIPTYLINE HCL TB 50MG 100,SANDOZ CS,50MG
7.0,282.36999999999995,23.81176179958132,273.37,273.37,273.37,273.37,336.37,63.0,5807847,82293000210.0,336.37,ABIRATERONE ACETATE TB 500MG 60,NOVUGEN PHARMA USA LLC CS,500MG
4.0,27.880000000000003,22.64367755761712,8.27,8.27,27.880000000000003,47.49,47.49,39.22,3745361,832046560.0,8.27,NYAMYC PW 100MU/GM 60GM TOP,UPSHER SMITH LABS LLC CS,100MU/GM
7.0,14.600000000000003,11.792637533647849,3.87,3.87,18.27,18.27,35.78,31.91,1276161,781148701.0,18.27,AMITRIPTYLINE HCL TB 25MG 100,SANDOZ CS,25MG
7.0,94.91857142857144,12.411612074412988,81.65,81.65,104.87,104.87,104.87,23.22,5924618,75907004301.0,104.87,TRIMETHOPRIM TB 100MG 100,DR REDDYS LABS INC CS,100MG
4.0,15.965,12.349522257966095,5.27,5.27,15.965,26.66,26.66,21.39,3664729,832046530.0,5.27,NYAMYC PW 100MU/GM 30GM TOP,UPSHER SMITH LABS LLC CS,100MU/GM
7.0,125.57857142857142,10.403094777631361,110.35,121.00999999999999,131.67,131.67,131.67,21.319999999999993,5240411,45802021172.0,131.67,ALOGLIPTIN/MET TB 12.5-1000MG 60,PADAGIS US LLC RX CS,12.5-1000MG
7.0,125.01,6.243973094112438,110.85,127.37,127.37,127.37,127.37,16.52000000000001,5240460,45802010365.0,127.37,ALOGLIPTIN TB 12.5MG 30,PADAGIS US LLC RX CS,12.5MG
7.0,225.84714285714287,8.509597942491586,216.75,216.75,232.67,232.67,232.67,15.919999999999987,5962071,143914402.0,232.67,LIRAGLUTIDE INJ SY 6MG/ML2X3MLPPN,HIKMA CS,6MG/ML
7.0,131.41285714285715,7.612020568998563,120.27,128.07,135.87,135.87,135.87,15.600000000000009,5137443,65862021105.0,120.27,MINOCYCLINE HCL CP 100MG 500,AUROBINDO PHARMA USA CS,100MG
7.0,325.22142857142853,5.975314297372213,313.85,324.21000000000004,328.57,328.57,328.57,14.71999999999997,5962089,143914403.0,319.85,LIRAGLUTIDE INJ SY 6MG/ML3X3MLPPN,HIKMA CS,6MG/ML
7.0,129.72714285714284,7.536767021930372,121.67,121.67,135.77,135.77,135.77,14.100000000000009,5660600,66993008169.0,135.77,SUMATRIPTAN SN 5MG 6UD NSL,PRASCO LABS CS,5MG
7.0,116.97,5.196344869232604,110.85,114.85,114.85,119.56,124.27,13.420000000000002,5240478,45802015065.0,114.85,ALOGLIPTIN TB 25MG 30,PADAGIS US LLC RX CS,25MG
7.0,60.46714285714285,4.720104922159091,58.65,58.65,58.65,58.75,71.17,12.520000000000003,4601282,60505280707.0,71.17,CARBAMAZEPINE ER CP 300MG 120,APOTEX CORP CS,300MG
7.0,37.92714285714286,6.681531047810609,32.57,32.57,32.57,45.07,45.07,12.5,5964234,72888006900.0,32.57,AMITRIPTYLINE HCL TB 50MG 1000,ADVAGEN PHARMA LTD CS,50MG
7.0,83.55857142857144,6.274720255574294,77.85,77.85,80.85,90.17,90.17,12.320000000000007,5875869,70700015691.0,80.85,ENILLORING 0.120-0.015MG/24H 3,XIROMED LLC CS,0.120-0.015MG/24HR
7.0,65.44571428571429,4.164568233494145,62.85,62.85,65.0,65.0,74.57,11.719999999999992,5893508,54032856.0,74.57,FLUT PROP/SALM IN 500-50MCG 60,HIKMA CS,500-50MCG
7.0,36.02714285714286,4.384387886907036,34.37,34.37,34.37,34.37,45.97,11.600000000000001,4436176,42192013316.0,45.97,SODIUM SULFACET SS 8-4% 473ML TOP,ACELLA PHARMACEUTICALS CS,8-4%
7.0,188.38142857142856,4.202964939862609,178.85,189.97,189.97,189.97,189.97,11.120000000000005,5325550,115169549.0,189.97,EPINEPHRINE SY 0.15MG/0.15ML 2,AMNEAL PHARMACEUTICALS LLC CS,0.15MG/0.15ML
7.0,48.784285714285716,5.879747322073336,44.07,44.07,44.07,55.07,55.07,11.0,5765243,60505403301.0,55.07,ICOSAPENT ETHYL GC 1GM 120 SFG,APOTEX CORP CS,1GM
