id,wac,awp,unit_price,price,website_url,ndc_formatted,item_number,display_item_number,description,product_size,manufacturer_name,brand,strength,is_available,short_dated,manufacturer_short_name,expiration_date,extension_date,quantity,eta,is_eta_delayed,active,is_short_dated,cloudflare_image_url,branding_type,generic_name,can_add_to_cart,create_date,display_name,lot_number,dosage_form,item_group_filter,availability_status,show_short_dated_label,display_dea_class,hide_dea_icon,restricted_by_dea,last_ordered_date,is_wishlisted
45729,1418.0,1701.6,900.4,900.4,/shop/spikevax-50-mcg-0-5ml-45729,80777-0110-96,117604,117604,Spikevax 50 MCG/0.5ML,0.5 ML X 10,MODERNA US INC,Spikevax,50MCG/0.5ML,True,Short dated,MODERNA US,09/08/25,,690,False,False,True,False,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxwebbucket.s3.amazonaws.com/spikevaxadult2425.png,Trademarked,COVID-19 mRNA Vaccine-Moderna IM Susp Pref Syr 50 MCG/0.5ML,True,07/23/24,Spikevax 50 MCG/0.5ML,3046732,SUSY,Rx,available,True,,True,False,09/18/24,False
44121,243.95,0.0,124.5,124.5,/shop/etonogestrel-ee-vaginal-ring-120-15mcg-44121,70700-0156-91,116439,116439,Etonogestrel  EE Vaginal Ring 120-15MCG,1 X 3,False,Nuvaring,120-15MCG/MCG,True,Short dated,False,11/30/25,,67,False,False,True,False,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,Etonogestrel + EE Vaginal Ring 120-15MCG,True,02/09/24,Etonogestrel + EE Vaginal Ring 120-15MCG,LF33321AA,RING,Rx,available,True,,True,False,False,False
44373,0.0,0.0,1.53,42.89,/shop/opill-0-075mg-44373,00113-8101-03,116681,116681,Opill 0.075MG,28 X 3,False,Opill,0.075MG,True,Short dated,False,12/31/25,,52,False,False,True,False,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,Opill 0.075MG,True,03/07/24,Opill 0.075MG,HR51100393,TABS,OTC,available,True,,True,False,False,False
45552,0.0,0.0,0.01,1.48,/shop/good-sense-alcohol-prep-swabs-sterile-70-45552,50804-0007-01,117487,117487,Good Sense ALCOHOL PREP SWABS STERILE 70%,100,False,,70%,True,Short dated,False,11/30/25,,132,False,False,True,True,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,Good Sense ALCOHOL PREP SWABS STERILE 70%,True,07/08/24,Good Sense ALCOHOL PREP SWABS STERILE 70%,JT34020,SWAB,OTC,available,True,,True,False,False,False
36115,0.0,0.0,0.04,3.7800000000000002,/shop/one-daily-mens-multi-vitamin-tablet-36115,846036008685,114420,114420,One Daily Mens Multi-Vitamin Tablet,100,False,One-A-Day Men`s Health,,True,Short dated,False,07/31/25,,58,False,False,True,False,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,,True,02/02/23,One Daily Mens Multi-Vitamin Tablet,17498800,TABS,OTC,available,True,,True,False,False,False
46406,243.95,0.0,68.26,68.26,/shop/etonogestrel-ee-vaginal-ring-120-15mcg-46406,70700-0156-91,117998,117998,Etonogestrel  EE Vaginal Ring 120-15MCG,1 X 3,False,Nuvaring,120-15MCG/MCG,True,Short dated,False,12/31/25,,1,10/02/24,True,True,True,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,Etonogestrel + EE Vaginal Ring 120-15MCG,True,09/25/24,Etonogestrel + EE Vaginal Ring 120-15MCG,LF33718AA,RING,Rx,available,True,,True,False,False,False
46301,0.0,0.0,0.06,3.75,/shop/melatonin-quick-dissolve-odt-10-mg-46301,00536-1397-08,117934,117934,Melatonin Quick Dissolve ODT 10 MG,60,False,Melatonin ODT,10MG,True,Short dated,False,01/31/26,,1,False,False,True,True,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,,True,09/16/24,Melatonin Quick Dissolve ODT 10 MG,483609,TBDP,OTC,available,True,,True,False,False,False
44374,0.0,0.0,0.63,17.59,/shop/opill-0-075mg-44374,00113-8101-01,116680,116680,Opill 0.075MG,28,False,Opill,0.075MG,True,Short dated,False,12/31/25,,126,False,False,True,False,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,Opill 0.075MG,True,03/07/24,Opill 0.075MG,HR51110401,TABS,OTC,available,True,,True,False,False,False
36116,0.0,0.0,0.04,3.5,/shop/b-12-pr-tab-1000-mg-36116,846036008517,114418,114418,B-12 PR Tab 1000 MG,90,False,Vitamin B-12,1000MG,True,Short dated,False,10/31/25,,13,False,False,True,False,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,,True,02/02/23,B-12 PR Tab 1000 MG,17709301,TABS,OTC,available,True,,True,False,False,False
34454,0.0,0.0,2.5500000000000003,2.5500000000000003,/shop/goodsense-electrolight-grape-1-ltr-1000-ml-34454,7003012714,113847,113847,Goodsense Electrolight Grape 1 LTR 1000 Ml,1,False,Pedialyte Grape,,True,Short dated,False,01/10/26,,315,False,False,True,False,https://blupaxpharma.com/cdn-cgi/image/quality=100/https://blupaxb2b.s3.amazonaws.com/placeholder.jpeg,Generic,,True,11/04/22,Goodsense Electrolight Grape 1 LTR 1000 Ml,40102H3,LIQD,False,available,True,,True,False,False,False
