count,mean,std,min,25%,50%,75%,max,delta,id,wac,awp,ndc_formatted,price,unit_price,description,product_size,manufacturer_name,brand,strength
7.0,160.58571428571423,93.30430980705783,125.32,125.32,125.32,125.32,372.18,246.86,47146,1600.0,16963.0,70377-0011-11,372.18,12.41,Everolimus Tab 5 MG,30,BIOCON PHARMA,Afinitor,5MG
5.0,121.97,65.69932077274468,50.0,50.0,169.95000000000002,169.95000000000002,169.95000000000002,119.95000000000002,36069,527.91,633.49,45802-0711-91,169.95000000000002,28.33,Zolmitriptan Nasal Spray 5 MG/Spray Unit,6,PADAGIS,Zomig ZMT,5MG
6.0,111.945,51.9405301282149,64.53,64.53,111.94500000000001,159.36,159.36,94.83000000000001,48635,500.0,600.0,71288-0155-01,159.36,159.36,Plerixafor Subcutaneous Inj 24 MG/1.2ML (20 MG/ML),1.2 ML,MEITHEAL PHARMACEUTICALS,Mozobil,24MG/1.2ML
7.0,359.7,34.87224684473314,322.42,322.42,387.66,387.66,387.66,65.24000000000001,45188,1950.0,2340.0,24470-0924-60,387.66,6.46,Diclofenac Potassium Tab 25 MG,60,CINTEX,Cataflam,25MG
7.0,43.27857142857143,22.797383935129805,25.0,25.0,25.0,67.65,67.65,42.650000000000006,43639,578.59,694.31,51672-1403-04,67.65,1.35,Clindamycin Phosphate-Benzoyl Peroxide Gel 1.2-3.75%,50 GM,SUN PHARMACEUTICALS,Onexton,1.2-3.75%
7.0,314.4428571428571,19.88423639828437,298.5,298.5,298.5,335.7,335.7,37.19999999999999,17405,695.99,0.0,43547-0325-06,335.7,5.59,Doxycycline Hyclate Tab Delayed Release 200 MG,60,SOLCO HEALTHCARE,Doryx,200MG
4.0,34.3125,8.125,30.25,30.25,30.25,34.3125,46.5,16.25,46323,424.71,509.66,62756-0071-64,46.5,1.55,Pantoprazole Sodium For Delayed Release Susp Packet 40 MG,30,SUN PHARMACEUTICALS,Protonix Oral Packet,40MG
7.0,71.18571428571428,6.253913060750732,64.5,64.5,76.2,76.2,76.2,11.700000000000003,48714,1000.0,1200.0,71288-0713-21,76.2,3.81,Cisatracurium Besylate (PF) IV Soln 200 MG/20ML (10 MG/ML),20 ML X 10,MEITHEAL PHARMACEUTICALS,Nimbex,200MG/20ML
7.0,128.78571428571428,5.3452248382484875,124.5,124.5,124.5,134.5,134.5,10.0,20317,393.99,0.0,43547-0324-10,134.5,1.34,Doxycycline Hyclate Tab Delayed Release 150 MG,100,SOLCO HEALTHCARE,Doryx,150MG
7.0,19.701428571428572,3.490431819376262,15.97,15.97,22.5,22.5,22.5,6.529999999999999,48031,129.5,1227.4,31722-0021-05,22.5,0.04,Divalproex Sodium Tab ER 24 HR 250 MG,500,CAMBER PHARMACEUTICALS,Depakote ER,250MG
