Description,Manufacturer,Brand Name,Strength,Label Size,Pack Quantity,Min Price
ABACAVIR TB 300MG 60 CPLT,AUROBINDO PHARMA USA CS,ZIAGEN,300MG,60 EA,1,26.57
ABACAV/LAMIV TB 600-300MG 30,CIPLA USA INC CS,EPZICOM,600-300MG,30 EA,1,45.07
ABIRATERONE ACETATE TB 250MG 120,DR REDDYS LABS INC CS,ZYTIGA,250MG,120 EA,1,80.27
ABIRATERONE ACETATE TB 500MG 60,NOVUGEN PHARMA USA LLC CS,ZYTIGA,500MG,60 EA,1,273.37
ACAMPROSATE CALC TB 333MG 180 DR,GLENMARK PHARMA INC USA CS,CAMPRAL,333MG,180 EA,1,74.67
ACARBOSE TB 100MG 100,AVET PHARMA INC CS,PRECOSE,100MG,100 EA,1,21.17
ACARBOSE TB 100MG 100,STRIDES PHARMA INC CS NCBNET,PRECOSE,100MG,100 EA,1,24.37
ACARBOSE TB 25MG 100,AVET PHARMA INC CS,PRECOSE,25MG,100 EA,1,12.97
ACARBOSE TB 50MG 100,AVET PHARMA INC CS,PRECOSE,50MG,100 EA,1,14.77
ACCU-CHEK AVIVA PLUS SI 100,ROCHE DIABETES CARE INC,,NOT AVAILABLE,100 EA,1,154.58
ACCU-CHEK AVIVA PLUS SI 50,ROCHE DIABETES CARE INC,,NOT AVAILABLE,50 EA,1,81.97
ACCU-CHEK FASTCLIX LC 102,ROCHE DIABETES CARE INC,,NOT AVAILABLE,102 EA,1,13.64
ACCU-CHEK GUIDE SI 50,ROCHE DIABETES CARE INC,,NOT AVAILABLE,50 EA,1,25.0
ACCU-CHEK SOFTCLIX LC 100,ROCHE DIABETES CARE INC,,NOT AVAILABLE,100 EA,1,11.87
ACEBUTOLOL HCL CP 200MG 100,AMNEAL PHARMACEUTICALS LLC CS,SECTRAL,200MG,100 EA,1,46.67
ACEBUTOLOL HCL CP 400MG 100,AMNEAL PHARMACEUTICALS LLC CS,SECTRAL,400MG,100 EA,1,68.57
ACETAMINOPHEN PM TB 25-500MG 50,MAJOR PHARMACEUTICALS CS CHLC,,25-500MG,50 EA,1,1.85
